StudentID,AttendanceRate,StudyTime,FinalExamScore,Pass/Fail
S001,100,5.6,40.2,0
S002,67,4.2,40.0,0
S003,61,9.0,81.8,1
S004,77,8.1,63.9,1
S005,75,3.3,40.0,0
S006,74,5.4,40.0,0
S007,68,4.2,40.0,0
S008,66,3.7,40.0,0
S009,94,8.1,67.2,1
S010,65,2.8,40.0,0
S011,97,5.0,40.0,0
S012,87,4.9,40.0,0
S013,62,4.8,40.0,0
S014,61,4.1,40.0,0
S015,65,2.3,40.0,0
S016,73,5.7,41.0,0
S017,74,3.0,40.0,0
S018,92,9.4,80.8,1
S019,98,2.6,40.0,0
S020,61,4.3,45.7,0
S021,95,7.0,54.7,0
S022,72,9.1,69.5,1
S023,94,4.9,40.0,0
S024,86,3.5,40.0,0
S025,74,2.6,40.0,0
